Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.635,3.65,3.565,3.575,2.751463,28141264.0
2010-01-05,3.58,3.59,3.515,3.565,2.7437669999999996,37961332.0
2010-01-06,3.595,3.665,3.595,3.6,2.770705,48343282.0
2010-01-07,3.61,3.61,3.515,3.525,2.712981,30403996.0
2010-01-08,3.5,3.555,3.495,3.55,2.732223,24959566.0
2010-01-11,3.57,3.6,3.47,3.525,2.712981,38739902.0
2010-01-12,3.535,3.6,3.495,3.6,2.770705,41444678.0
2010-01-13,3.53,3.62,3.525,3.53,2.71683,34469714.0
2010-01-14,3.545,3.62,3.53,3.61,2.7784009999999997,40375736.0
2010-01-15,3.635,3.67,3.595,3.65,2.809186,61858412.0
2010-01-18,3.665,3.74,3.62,3.73,2.8707580000000004,59658852.0
2010-01-19,3.75,3.765,3.675,3.695,2.84382,43811408.0
2010-01-20,3.705,3.76,3.63,3.66,2.8168830000000002,63839868.0
2010-01-21,3.665,3.73,3.615,3.695,2.84382,47452994.0
2010-01-22,3.625,3.695,3.51,3.55,2.732223,47527890.0
2010-01-25,3.505,3.575,3.5,3.505,2.697589,21810998.0
2010-01-26,3.53,3.53,3.3,3.335,2.56675,39234732.0
2010-01-27,3.34,3.365,3.25,3.27,2.516723,28790360.0
2010-01-28,3.28,3.33,3.28,3.32,2.555205,17576242.0
2010-01-29,3.3,3.35,3.29,3.31,2.547509,18376298.0
2010-02-01,3.315,3.535,3.24,3.51,2.701437,57281302.0
2010-02-02,3.47,3.52,3.365,3.395,2.6129279999999997,37091000.0
2010-02-03,3.5,3.735,3.5,3.735,2.874606,170430796.0
2010-02-04,3.9,4.11,3.805,4.11,3.163221,341281570.0
2010-02-05,4.22,4.475,3.885,4.145,3.1901580000000003,416486176.0
2010-02-08,4.05,4.3,3.955,4.18,3.2170959999999997,182130658.0
2010-02-09,4.05,4.09,3.9,3.935,3.028534,123028812.0
2010-02-10,3.94,4.035,3.83,3.955,3.043927,88648892.0
2010-02-11,3.95,3.965,3.83,3.85,2.963115,68602502.0
2010-02-12,3.835,4.0,3.825,3.935,3.028534,76181040.0
2010-02-22,3.835,4.04,3.825,3.96,3.047775,164443458.0
2010-02-23,3.935,4.145,3.9,4.135,3.1824619999999997,99663900.0
2010-02-24,4.08,4.17,4.03,4.115,3.1670689999999997,96159568.0
2010-02-25,4.125,4.26,4.06,4.155,3.197855,117265994.0
2010-02-26,4.105,4.155,4.03,4.055,3.120891,97254920.0
2010-03-01,4.065,4.225,4.065,4.135,3.1824619999999997,100611244.0
2010-03-02,4.135,4.135,4.135,4.135,3.1824619999999997,0.0
2010-03-03,4.14,4.16,4.03,4.13,3.178614,83822894.0
2010-03-04,4.115,4.12,3.845,3.88,2.9862040000000003,90059858.0
2010-03-05,3.88,3.93,3.785,3.885,2.990052,57987516.0
2010-03-08,3.885,3.925,3.84,3.88,2.9862040000000003,33993716.0
2010-03-09,3.855,3.905,3.805,3.88,2.9862040000000003,36968798.0
2010-03-10,3.875,3.945,3.825,3.855,2.9669630000000002,36616402.0
2010-03-11,3.855,3.89,3.765,3.8,2.924633,32778084.0
2010-03-12,3.805,3.855,3.74,3.79,2.916936,35071926.0
2010-03-15,3.77,3.875,3.75,3.845,2.959266,32730168.0
2010-03-16,3.83,3.88,3.79,3.875,2.9823560000000002,29234426.0
2010-03-17,3.9,3.965,3.88,3.95,3.040079,51625624.0
2010-03-18,3.96,3.97,3.895,3.915,3.013141,33366782.0
2010-03-19,3.93,3.94,3.855,3.925,3.0208369999999998,33260116.0
2010-03-22,3.925,3.93,3.87,3.895,2.997748,27861250.0
2010-03-23,3.9,4.0,3.85,3.965,3.0516229999999998,70739144.0
2010-03-24,3.96,4.08,3.94,3.97,3.055472,71005362.0
2010-03-25,3.95,3.975,3.81,3.82,2.940025,52858146.0
2010-03-26,3.84,3.89,3.805,3.87,2.978507,24066478.0
2010-03-29,3.93,3.975,3.91,3.94,3.032382,40774002.0
2010-03-30,3.95,3.96,3.88,3.95,3.040079,35411426.0
2010-03-31,3.94,3.94,3.875,3.88,2.9862040000000003,27250822.0
2010-04-01,3.89,4.025,3.875,3.99,3.070864,64995060.0
2010-04-02,4.0,4.005,3.955,3.98,3.063167,35394902.0
2010-04-06,3.99,4.01,3.94,3.97,3.055472,32278398.0
2010-04-07,3.975,4.0,3.935,4.0,3.078561,35226164.0
2010-04-08,4.0,4.075,3.955,3.97,3.055472,64184764.0
2010-04-09,3.95,4.0,3.915,3.995,3.074712,44293648.0
2010-04-12,4.0,4.03,3.96,4.005,3.082409,43905128.0
2010-04-13,4.0,4.115,3.98,4.105,3.159373,112538124.0
2010-04-14,4.12,4.14,4.065,4.09,3.147828,58802366.0
2010-04-15,4.09,4.09,4.09,4.09,3.147828,0.0
2010-04-16,4.05,4.05,3.93,3.955,3.043927,49789844.0
2010-04-19,3.91,3.915,3.685,3.7,2.847668,58476806.0
2010-04-20,3.69,3.75,3.635,3.73,2.8707580000000004,37062594.0
2010-04-21,3.73,3.8,3.69,3.78,2.90924,36240210.0
2010-04-22,3.77,3.77,3.685,3.7,2.847668,40586492.0
2010-04-23,3.67,3.79,3.63,3.725,2.866909,45212646.0
2010-04-26,3.7,3.78,3.675,3.72,2.863061,25253208.0
2010-04-27,3.715,3.74,3.51,3.575,2.751463,41643884.0
2010-04-28,3.565,3.59,3.495,3.565,2.7437669999999996,22204130.0
2010-04-29,3.6,3.64,3.515,3.525,2.712981,25078130.0
2010-04-30,3.56,3.635,3.515,3.595,2.766856,29918064.0
2010-05-04,3.5,3.5,3.375,3.39,2.699178,22857880.0
2010-05-05,3.35,3.46,3.335,3.455,2.750932,19125866.0
2010-05-06,3.455,3.58,3.375,3.405,2.711121,29733106.0
2010-05-07,3.33,3.415,3.305,3.35,2.667329,22363626.0
2010-05-10,3.345,3.415,3.3,3.38,2.691216,18265262.0
2010-05-11,3.445,3.465,3.25,3.26,2.59567,20994848.0
2010-05-12,3.195,3.28,3.115,3.18,2.531972,28221028.0
2010-05-13,3.225,3.245,3.135,3.24,2.579745,19024446.0
2010-05-14,3.23,3.35,3.2,3.295,2.623537,30611358.0
2010-05-17,3.245,3.28,3.07,3.08,2.45235,21683188.0
2010-05-18,3.07,3.12,2.98,3.11,2.476237,24023450.0
2010-05-19,3.075,3.125,3.03,3.07,2.444388,18169094.0
2010-05-20,3.055,3.095,2.97,2.975,2.368747,19171370.0
2010-05-21,2.89,2.995,2.865,2.985,2.376709,22325386.0
2010-05-24,2.98,3.13,2.98,3.105,2.472255,33910132.0
2010-05-25,3.1,3.1,3.015,3.05,2.428464,22014898.0
2010-05-26,3.04,3.115,3.03,3.085,2.456331,17287218.0
2010-05-27,3.135,3.225,3.125,3.175,2.527991,38865274.0
2010-05-28,3.175,3.225,3.125,3.21,2.555858,43471934.0
2010-05-31,3.19,3.19,3.045,3.055,2.432445,24491664.0
2010-06-01,3.035,3.075,2.95,3.01,2.396615,21240884.0
2010-06-02,2.995,3.05,2.965,3.05,2.428464,12503636.0
2010-06-03,3.065,3.095,3.035,3.04,2.420502,17097222.0
2010-06-04,3.025,3.06,2.995,3.045,2.4244830000000004,11742384.0
2010-06-07,2.98,3.05,2.955,3.02,2.404577,14118076.0
2010-06-08,2.98,3.055,2.98,3.025,2.408558,12029860.0
2010-06-09,3.035,3.145,3.0,3.11,2.476237,21571378.0
